                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4301,                 4.6646,                 1.1035,                0.19044,                 0.3511,                0.20011,                0.16272,                0.77723,                 2.8264,                0.87462,             5.8973e-05,             5.8973e-05,             5.8973e-05
                      2,                 0.8815,                 2.2325,                0.89745,                 0.5761,                 0.6744,                0.68488,                0.54088,                 0.8463,                 1.6395,                0.90697,             0.00011277,             0.00011277,             0.00011277
                      3,                0.79329,                 1.5166,                0.88529,                0.68975,                0.83565,                0.88017,                 0.7365,                0.67362,                 1.0994,                0.86863,             0.00016065,             0.00016065,             0.00016065
                      4,                0.70955,                 1.1176,                 0.8717,                0.88613,                0.90465,                0.96343,                 0.8527,                0.51713,                0.74113,                0.83436,             0.00015242,             0.00015242,             0.00015242
                      5,                0.63386,                0.87786,                0.85324,                  0.934,                 0.9443,                0.98908,                0.88435,                0.48641,                0.59027,                0.83036,             0.00014356,             0.00014356,             0.00014356
                      6,                0.60212,                0.72712,                0.85098,                0.96122,                 0.9702,                0.98935,                0.88844,                0.47756,                0.47697,                0.82779,              0.0001347,              0.0001347,              0.0001347
                      7,                0.54608,                0.62467,                0.83646,                0.96227,                0.98036,                  0.992,                0.90696,                0.43126,                0.42817,                0.81754,             0.00012584,             0.00012584,             0.00012584
                      8,                0.52512,                0.58566,                0.83672,                0.97106,                 0.9846,                0.99468,                0.91781,                0.41355,                0.38969,                0.81273,             0.00011698,             0.00011698,             0.00011698
                      9,                  0.503,                0.53115,                0.82517,                0.96652,                 0.9851,                0.99345,                0.91412,                0.41597,                0.35118,                0.81402,             0.00010812,             0.00010812,             0.00010812
                     10,                0.48699,                0.48862,                0.82575,                0.98214,                0.99047,                0.99471,                0.92639,                0.38242,                0.32638,                0.80366,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     11,                0.41554,                 0.3893,                 0.8124,                0.98994,                0.99524,                0.99483,                0.93237,                0.37568,                0.30113,                  0.803,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     12,                0.39399,                0.35472,                0.80857,                0.99042,                0.99536,                0.99497,                0.93622,                0.36226,                0.28242,                0.80025,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     13,                0.37918,                0.33116,                0.80317,                0.99039,                0.99688,                0.99481,                0.93588,                0.36114,                 0.2727,                0.79846,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     14,                0.36482,                0.31599,                0.80097,                0.98893,                0.99209,                0.99416,                0.94749,                0.33633,                0.25918,                0.79409,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     15,                0.35162,                0.29859,                0.79695,                0.99305,                0.99634,                0.99493,                0.94712,                0.33554,                0.24471,                0.79233,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     16,                0.33958,                0.28579,                0.79316,                0.99211,                 0.9975,                0.99499,                0.95074,                0.32713,                0.23376,                0.79066,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     17,                0.32966,                0.27264,                0.79163,                0.99474,                0.99686,                  0.995,                0.94733,                0.33382,                0.23263,                0.79151,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     18,                0.32224,                 0.2656,                0.78975,                 0.9951,                0.99697,                0.99498,                0.95471,                0.31554,                0.22015,                0.78762,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     19,                0.31695,                0.25818,                0.79149,                0.99206,                0.99725,                  0.995,                0.95804,                0.30605,                0.21469,                0.78557,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     20,                0.30686,                0.24993,                0.78709,                0.99448,                0.99849,                  0.995,                0.95627,                0.30725,                0.21139,                0.78569,             1.0651e-05,             1.0651e-05,             1.0651e-05
